# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.001065 0.000416 0.000816 0.000002 0.415461 0.417759
0.001143 0.000436 0.000932 0.000002 0.411971 0.414483
0.001226 0.000457 0.001046 0.000002 0.408361 0.411093
0.001317 0.000480 0.001150 0.000002 0.404633 0.407582
0.001414 0.000504 0.001233 0.000003 0.400785 0.403939
0.001518 0.000531 0.001290 0.000003 0.396816 0.400157
0.001631 0.000559 0.001316 0.000003 0.392720 0.396229
0.001753 0.000590 0.001312 0.000003 0.388493 0.392151
0.001884 0.000623 0.001284 0.000004 0.384126 0.387920
0.002026 0.000658 0.001240 0.000004 0.379607 0.383535
0.002179 0.000696 0.001191 0.000005 0.374924 0.378995
0.002346 0.000736 0.001149 0.000005 0.370062 0.374297
0.002526 0.000778 0.001123 0.000005 0.365002 0.369435
0.002722 0.000823 0.001120 0.000006 0.359730 0.364400
0.002934 0.000870 0.001146 0.000006 0.354229 0.359185
0.003163 0.000919 0.001202 0.000007 0.348489 0.353781
0.003412 0.000971 0.001290 0.000008 0.342504 0.348185
0.003682 0.001026 0.001408 0.000008 0.336273 0.342397
0.003974 0.001084 0.001548 0.000009 0.329802 0.336417
0.004290 0.001145 0.001701 0.000010 0.323101 0.330247
0.004631 0.001211 0.001852 0.000011 0.316179 0.323884
0.005001 0.001281 0.001983 0.000012 0.309048 0.317324
0.005401 0.001356 0.002082 0.000013 0.301712 0.310565
0.005834 0.001437 0.002145 0.000014 0.294175 0.303605
0.006301 0.001524 0.002182 0.000016 0.286428 0.296450
0.006806 0.001616 0.002208 0.000017 0.278461 0.289108
0.007351 0.001713 0.002245 0.000019 0.270256 0.281584
0.007939 0.001815 0.002310 0.000021 0.261798 0.273882
0.008572 0.001921 0.002414 0.000023 0.253078 0.266007
0.009253 0.002033 0.002557 0.000025 0.244101 0.257969
0.009985 0.002149 0.002733 0.000028 0.234889 0.249783
0.010771 0.002271 0.002920 0.000031 0.225477 0.241470
0.011614 0.002399 0.003091 0.000034 0.215907 0.233045
0.012518 0.002534 0.003222 0.000038 0.206215 0.224527
0.013486 0.002676 0.003304 0.000042 0.196429 0.215937
0.014519 0.002825 0.003352 0.000046 0.186561 0.207303
0.015620 0.002979 0.003397 0.000051 0.176612 0.198659
0.016788 0.003136 0.003464 0.000057 0.166586 0.190031
0.018025 0.003296 0.003566 0.000063 0.156503 0.181453
0.019330 0.003458 0.003691 0.000070 0.146415 0.172964
0.020704 0.003622 0.003808 0.000078 0.136397 0.164609
0.022146 0.003789 0.003879 0.000086 0.126527 0.156427
0.023656 0.003958 0.003884 0.000095 0.116867 0.148460
0.025227 0.004127 0.003848 0.000105 0.107450 0.140756
0.026854 0.004292 0.003815 0.000115 0.098287 0.133363
0.028527 0.004450 0.003816 0.000126 0.089401 0.126320
0.030238 0.004600 0.003846 0.000137 0.080849 0.119671
0.031980 0.004741 0.003867 0.000149 0.072721 0.113457
0.033743 0.004871 0.003838 0.000161 0.065096 0.107709
0.035516 0.004989 0.003767 0.000173 0.058007 0.102454
0.037281 0.005090 0.003707 0.000185 0.051447 0.097710
0.039018 0.005169 0.003693 0.000196 0.045405 0.093480
0.040708 0.005225 0.003713 0.000206 0.039910 0.089762
0.042337 0.005256 0.003720 0.000215 0.035008 0.086536
0.043884 0.005263 0.003689 0.000223 0.030708 0.083768
0.045323 0.005242 0.003658 0.000230 0.026963 0.081416
0.046622 0.005191 0.003665 0.000236 0.023710 0.079424
0.047753 0.005110 0.003703 0.000241 0.020920 0.077727
0.048698 0.005002 0.003731 0.000246 0.018580 0.076258
0.049436 0.004868 0.003736 0.000252 0.016653 0.074945
0.049942 0.004710 0.003748 0.000258 0.015067 0.073725
0.050199 0.004529 0.003788 0.000266 0.013756 0.072537
0.050202 0.004329 0.003841 0.000275 0.012690 0.071336
0.049960 0.004114 0.003883 0.000287 0.011843 0.070087
0.049488 0.003888 0.003915 0.000301 0.011181 0.068773
0.048800 0.003653 0.003948 0.000318 0.010668 0.067387
0.047920 0.003413 0.003981 0.000338 0.010286 0.065937
0.046882 0.003170 0.003998 0.000360 0.010028 0.064438
0.045722 0.002931 0.003990 0.000384 0.009884 0.062911
0.044469 0.002697 0.003962 0.000411 0.009844 0.061382
0.043142 0.002470 0.003919 0.000440 0.009901 0.059873
0.041764 0.002255 0.003862 0.000473 0.010050 0.058403
0.040353 0.002054 0.003797 0.000509 0.010276 0.056988
0.038927 0.001868 0.003730 0.000550 0.010559 0.055634
0.037502 0.001699 0.003667 0.000594 0.010883 0.054345
0.036090 0.001546 0.003606 0.000644 0.011231 0.053116
0.034708 0.001409 0.003542 0.000698 0.011583 0.051941
0.033376 0.001289 0.003471 0.000757 0.011916 0.050809
0.032107 0.001184 0.003392 0.000821 0.012204 0.049709
0.030910 0.001095 0.003301 0.000891 0.012434 0.048631
0.029783 0.001021 0.003198 0.000967 0.012596 0.047566
0.028719 0.000963 0.003090 0.001051 0.012683 0.046507
0.027708 0.000920 0.002987 0.001145 0.012691 0.045452
0.026746 0.000892 0.002895 0.001250 0.012618 0.044401
0.025830 0.000879 0.002812 0.001367 0.012467 0.043355
0.024968 0.000879 0.002730 0.001494 0.012249 0.042319
0.024162 0.000891 0.002640 0.001631 0.011974 0.041299
0.023415 0.000915 0.002544 0.001776 0.011653 0.040302
0.022719 0.000948 0.002447 0.001925 0.011294 0.039333
0.022067 0.000988 0.002359 0.002078 0.010908 0.038400
0.021460 0.001033 0.002278 0.002230 0.010507 0.037508
0.020912 0.001080 0.002199 0.002373 0.010101 0.036665
0.020436 0.001127 0.002113 0.002501 0.009697 0.035874
0.020031 0.001172 0.002027 0.002608 0.009302 0.035140
0.019680 0.001212 0.001953 0.002696 0.008922 0.034463
0.019368 0.001246 0.001896 0.002766 0.008561 0.033838
0.019090 0.001274 0.001852 0.002819 0.008222 0.033258
0.018839 0.001295 0.001813 0.002859 0.007906 0.032711
0.018593 0.001309 0.001778 0.002889 0.007612 0.032182
0.018332 0.001318 0.001748 0.002916 0.007339 0.031654
0.018052 0.001320 0.001719 0.002939 0.007085 0.031114
0.017761 0.001318 0.001679 0.002954 0.006845 0.030557
0.017467 0.001311 0.001628 0.002959 0.006617 0.029982
0.017169 0.001300 0.001574 0.002956 0.006400 0.029399
0.016865 0.001284 0.001528 0.002947 0.006193 0.028817
0.016564 0.001264 0.001491 0.002930 0.005997 0.028246
0.016274 0.001241 0.001461 0.002901 0.005813 0.027691
0.015995 0.001217 0.001440 0.002859 0.005644 0.027155
0.015722 0.001191 0.001432 0.002805 0.005488 0.026638
0.015459 0.001165 0.001433 0.002738 0.005344 0.026139
0.015214 0.001140 0.001434 0.002659 0.005212 0.025659
0.014987 0.001119 0.001430 0.002571 0.005088 0.025196
0.014769 0.001101 0.001425 0.002484 0.004969 0.024749
0.014554 0.001088 0.001422 0.002403 0.004851 0.024317
0.014339 0.001080 0.001415 0.002333 0.004732 0.023900
0.014121 0.001079 0.001404 0.002280 0.004613 0.023497
0.013891 0.001083 0.001391 0.002247 0.004491 0.023104
0.013643 0.001091 0.001378 0.002237 0.004369 0.022719
0.013385 0.001102 0.001363 0.002248 0.004245 0.022342
0.013122 0.001114 0.001346 0.002273 0.004119 0.021975
0.012856 0.001126 0.001336 0.002310 0.003992 0.021619
0.012595 0.001137 0.001331 0.002347 0.003864 0.021275
0.012355 0.001146 0.001327 0.002375 0.003736 0.020939
0.012138 0.001153 0.001326 0.002388 0.003607 0.020612
0.011942 0.001157 0.001330 0.002385 0.003479 0.020293
0.011768 0.001157 0.001335 0.002369 0.003352 0.019982
0.011605 0.001154 0.001345 0.002347 0.003229 0.019680
0.011444 0.001147 0.001359 0.002327 0.003109 0.019386
0.011286 0.001140 0.001369 0.002311 0.002994 0.019099
0.011125 0.001134 0.001373 0.002302 0.002884 0.018816
0.010962 0.001130 0.001368 0.002297 0.002779 0.018536
0.010808 0.001131 0.001350 0.002291 0.002679 0.018258
0.010660 0.001134 0.001325 0.002281 0.002582 0.017982
0.010524 0.001140 0.001293 0.002262 0.002489 0.017708
0.010399 0.001147 0.001257 0.002232 0.002399 0.017434
0.010280 0.001155 0.001221 0.002193 0.002315 0.017163
0.010169 0.001164 0.001180 0.002146 0.002235 0.016895
0.010058 0.001174 0.001141 0.002095 0.002162 0.016630
0.009949 0.001186 0.001099 0.002042 0.002093 0.016369
0.009835 0.001198 0.001059 0.001993 0.002026 0.016111
0.009720 0.001209 0.001020 0.001946 0.001961 0.015856
0.009605 0.001218 0.000985 0.001901 0.001897 0.015606
0.009493 0.001226 0.000954 0.001854 0.001832 0.015359
0.009388 0.001233 0.000925 0.001803 0.001769 0.015118
0.009284 0.001240 0.000898 0.001750 0.001709 0.014882
0.009185 0.001248 0.000869 0.001698 0.001652 0.014652
0.009077 0.001256 0.000843 0.001654 0.001598 0.014427
0.008966 0.001267 0.000812 0.001618 0.001545 0.014207
