# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.000186 0.001793 0.000311 0.000027 0.504212 0.506529
0.000159 0.001528 0.000218 0.000028 0.503616 0.505550
0.000137 0.001298 0.000185 0.000028 0.502961 0.504608
0.000118 0.001105 0.000187 0.000028 0.502244 0.503682
0.000103 0.000950 0.000208 0.000028 0.501469 0.502757
0.000091 0.000833 0.000232 0.000027 0.500638 0.501822
0.000084 0.000752 0.000251 0.000026 0.499756 0.500869
0.000079 0.000704 0.000260 0.000025 0.498829 0.499897
0.000078 0.000685 0.000255 0.000024 0.497861 0.498904
0.000080 0.000692 0.000238 0.000022 0.496859 0.497891
0.000083 0.000719 0.000212 0.000021 0.495826 0.496861
0.000088 0.000761 0.000181 0.000019 0.494769 0.495818
0.000095 0.000814 0.000149 0.000018 0.493689 0.494764
0.000103 0.000872 0.000121 0.000016 0.492591 0.493703
0.000111 0.000933 0.000102 0.000014 0.491476 0.492636
0.000120 0.000993 0.000095 0.000013 0.490345 0.491565
0.000128 0.001048 0.000104 0.000011 0.489199 0.490490
0.000136 0.001097 0.000130 0.000010 0.488039 0.489412
0.000144 0.001137 0.000174 0.000008 0.486864 0.488327
0.000152 0.001168 0.000234 0.000007 0.485674 0.487235
0.000159 0.001189 0.000309 0.000006 0.484469 0.486132
0.000166 0.001201 0.000396 0.000005 0.483248 0.485016
0.000172 0.001203 0.000492 0.000004 0.482011 0.483883
0.000178 0.001198 0.000594 0.000003 0.480757 0.482730
0.000184 0.001185 0.000696 0.000003 0.479487 0.481555
0.000189 0.001167 0.000795 0.000002 0.478200 0.480354
0.000195 0.001145 0.000888 0.000002 0.476897 0.479126
0.000201 0.001119 0.000971 0.000002 0.475577 0.477869
0.000206 0.001092 0.001041 0.000001 0.474240 0.476580
0.000213 0.001066 0.001097 0.000001 0.472885 0.475261
0.000219 0.001040 0.001137 0.000001 0.471512 0.473909
0.000227 0.001016 0.001162 0.000001 0.470119 0.472524
0.000235 0.000996 0.001171 0.000001 0.468704 0.471107
0.000244 0.000979 0.001167 0.000001 0.467266 0.469656
0.000253 0.000966 0.001150 0.000001 0.465801 0.468171
0.000264 0.000957 0.001123 0.000000 0.464306 0.466651
0.000276 0.000953 0.001088 0.000000 0.462776 0.465094
0.000289 0.000954 0.001048 0.000000 0.461206 0.463498
0.000303 0.000960 0.001005 0.000000 0.459593 0.461861
0.000318 0.000970 0.000963 0.000000 0.457929 0.460180
0.000334 0.000984 0.000921 0.000000 0.456211 0.458451
0.000352 0.001003 0.000884 0.000000 0.454432 0.456672
0.000371 0.001027 0.000852 0.000000 0.452587 0.454837
0.000392 0.001055 0.000826 0.000000 0.450672 0.452945
0.000414 0.001088 0.000808 0.000000 0.448682 0.450992
0.000438 0.001125 0.000797 0.000000 0.446613 0.448974
0.000464 0.001168 0.000794 0.000000 0.444463 0.446889
0.000492 0.001216 0.000799 0.000000 0.442227 0.444735
0.000522 0.001270 0.000812 0.000000 0.439905 0.442510
0.000555 0.001330 0.000832 0.000000 0.437494 0.440211
0.000589 0.001396 0.000858 0.000000 0.434993 0.437838
0.000627 0.001469 0.000890 0.000000 0.432400 0.435387
0.000667 0.001548 0.000926 0.000000 0.429715 0.432857
